('Total Revenue', '254,190,000.00 ', '245,122,000.00 ', '211,915,000.00 ', '198,270,000.00 ', '168,088,000.00 ')
         943793 function calls (918131 primitive calls) in 6.686 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     5827    0.001    0.000    0.001    0.000 sre_parse.py:172(append)
       16    0.001    0.000    0.004    0.000 enum.py:135(__new__)
     2359    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
     2688    0.001    0.000    0.001    0.000 __init__.py:523(string_container)
    167/1    0.001    0.000    6.687    6.687 {built-in method builtins.exec}
     6111    0.001    0.000    0.005    0.000 __init__.py:122(unescape)
        1    0.001    0.001    0.001    0.001 {method '_wrap_socket' of '_ssl._SSLContext' objects}
        9    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
     4085    0.001    0.000    0.001    0.000 sre_parse.py:286(tell)
     2740    0.001    0.000    0.001    0.000 element.py:1371(is_empty_element)
     2359    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
        1    0.001    0.001    0.155    0.155 connection.py:609(connect)
      883    0.001    0.000    0.001    0.000 sre_compile.py:249(_compile_charset)
       64    0.001    0.000    0.170    0.003 {method 'read' of '_io.BufferedReader' objects}
      322    0.001    0.000    1.075    0.003 ssl.py:1060(recv_into)
    76/12    0.001    0.000    0.182    0.015 {method 'join' of 'bytes' objects}
     2589    0.001    0.000    0.002    0.000 _htmlparser.py:178(handle_data)
      125    0.001    0.000    0.002    0.000 sre_compile.py:492(_get_charset_prefix)
       16    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
      267    0.001    0.000    0.001    0.000 sre_compile.py:413(<listcomp>)
      150    0.001    0.000    0.036    0.000 <frozen importlib._bootstrap_external>:793(get_code)
     3671    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
     6867    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     2741    0.001    0.000    0.001    0.000 __init__.py:205(can_be_empty_element)
        1    0.001    0.001    0.001    0.001 {method 'getpeercert' of '_ssl._SSLSocket' objects}
     1065    0.001    0.000    0.001    0.000 sre_parse.py:295(_class_escape)
        1    0.001    0.001    0.001    0.001 {built-in method _socket.getaddrinfo}
     2708    0.001    0.000    0.001    0.000 __init__.py:773(handle_data)
       51    0.001    0.000    0.909    0.018 {method 'readline' of '_io.BufferedReader' objects}
    200/4    0.001    0.000    0.209    0.052 <frozen importlib._bootstrap>:978(_find_and_load)
      325    0.001    0.000    0.005    0.000 css_parser.py:1101(selector_iter)
       50    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
      192    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
     5598    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
     1684    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
      192    0.001    0.000    0.082    0.000 sre_compile.py:759(compile)
      192    0.001    0.000    0.005    0.000 sre_compile.py:536(_compile_info)
       16    0.001    0.000    0.002    0.000 __init__.py:316(namedtuple)
      300    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
     2741    0.001    0.000    0.001    0.000 __init__.py:453(set_up_substitutions)
     7620    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
      192    0.001    0.000    0.001    0.000 {built-in method _sre.compile}
      236    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      322    0.000    0.000    1.074    0.003 ssl.py:920(read)
      174    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
     2596    0.000    0.000    0.000    0.000 parser.py:127(clear_cdata_mode)
     2740    0.000    0.000    0.000    0.000 _markupbase.py:40(getpos)
       12    0.000    0.000    0.000    0.000 {method 'cast' of 'memoryview' objects}
     1344    0.000    0.000    0.001    0.000 sre_parse.py:168(__setitem__)
      987    0.000    0.000    0.001    0.000 sre_compile.py:423(_simple)
     2641    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
      793    0.000    0.000    0.001    0.000 sre_parse.py:343(_escape)
     2422    0.000    0.000    0.000    0.000 {built-in method builtins.max}
    52/14    0.000    0.000    0.012    0.001 css_parser.py:921(parse_selectors)
     2223    0.000    0.000    0.001    0.000 element.py:1543(get)
     2490    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
      267    0.000    0.000    0.001    0.000 sre_compile.py:411(_mk_bitmap)
    174/4    0.000    0.000    0.209    0.052 <frozen importlib._bootstrap>:663(_load_unlocked)
      323    0.000    0.000    0.000    0.000 socket.py:614(readable)
      881    0.000    0.000    0.001    0.000 sre_parse.py:408(_uniq)
    199/4    0.000    0.000    0.209    0.052 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
      881    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      717    0.000    0.000    0.001    0.000 typing.py:704(__setattr__)
      192    0.000    0.000    0.050    0.000 sre_parse.py:913(parse)
     3941    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
     2251    0.000    0.000    0.002    0.000 css_parser.py:320(match)
        1    0.000    0.000    0.000    0.000 typing.py:740(_VariadicGenericAlias)
      322    0.000    0.000    0.001    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      322    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
     2521    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      400    0.000    0.000    0.000    0.000 {built-in method builtins.any}
       64    0.000    0.000    0.170    0.003 client.py:604(_safe_read)
     2841    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      412    0.000    0.000    0.001    0.000 sre_parse.py:258(getwhile)
       77    0.000    0.000    0.003    0.000 css_parser.py:475(parse_attribute_selector)
      236    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:103(release)
     2795    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      236    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:78(acquire)
      192    0.000    0.000    0.001    0.000 enum.py:836(__and__)
     1678    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      597    0.000    0.000    0.003    0.000 enum.py:284(__call__)
      273    0.000    0.000    0.000    0.000 enum.py:376(__setattr__)
       42    0.000    0.000    0.171    0.004 response.py:1010(_handle_chunk)
      213    0.000    0.000    0.001    0.000 enum.py:70(__setitem__)
       43    0.000    0.000    0.181    0.004 response.py:1032(read_chunked)
       98    0.000    0.000    0.001    0.000 typing.py:603(__init__)
        3    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
      171    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
    150/4    0.000    0.000    0.209    0.052 <frozen importlib._bootstrap_external>:722(exec_module)
      136    0.000    0.000    0.000    0.000 css_parser.py:372(__init__)
        1    0.000    0.000    0.001    0.001 feedparser.py:471(_parse_headers)
      174    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:318(__exit__)
     2845    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.002    0.002 parser.py:59(parsestr)
      587    0.000    0.000    0.001    0.000 enum.py:526(__new__)
        1    0.000    0.000    0.000    0.000 ssl.py:498(minimum_version)
  214/178    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
      841    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
      150    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
      150    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
      760    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
      174    0.000    0.000    0.031    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
        1    0.000    0.000    0.060    0.060 client.py:203(parse_headers)
     1694    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
      171    0.000    0.000    0.001    0.000 typing.py:113(_type_check)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
      192    0.000    0.000    0.030    0.000 sre_compile.py:598(_code)
       16    0.000    0.000    0.000    0.000 enum.py:177(<setcomp>)
        1    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
      548    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
        1    0.000    0.000    0.000    0.000 {method 'bind' of '_socket.socket' objects}
  136/131    0.000    0.000    0.002    0.000 css_parser.py:398(freeze)
  514/290    0.000    0.000    0.119    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
      192    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
       10    0.000    0.000    0.001    0.000 enum.py:654(<listcomp>)
       42    0.000    0.000    0.010    0.000 response.py:429(_decode)
      199    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
  705/598    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
       43    0.000    0.000    0.000    0.000 response.py:996(_update_chunk_length)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha224}
      303    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
      118    0.000    0.000    0.001    0.000 _markupbase.py:168(parse_comment)
