('Total Revenue', '254,190,000.00 ', '245,122,000.00 ', '211,915,000.00 ', '198,270,000.00 ', '168,088,000.00 ')
         987903 function calls (956677 primitive calls) in 1.947 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2176    0.002    0.000    0.002    0.000 {method 'findall' of 're.Pattern' objects}
     1943    0.002    0.000    0.003    0.000 __init__.py:91(_replace_charref)
1918/1866    0.002    0.000    0.013    0.000 typing.py:248(inner)
     1830    0.001    0.000    0.001    0.000 _exceptions.py:7(map_exceptions)
     1636    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
     1526    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
     1526    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
     1470    0.001    0.000    0.001    0.000 _connection.py:212(their_state)
     1424    0.003    0.000    0.004    0.000 __init__.py:648(_linkage_fixer)
     1223    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
     1176    0.003    0.000    0.003    0.000 {built-in method posix.stat}
     1175    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
     1085    0.000    0.000    0.000    0.000 typing.py:613(<genexpr>)
 1067/192    0.003    0.000    0.043    0.000 sre_parse.py:411(_parse_sub)
     1036    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
     1021    0.001    0.000    0.001    0.000 sre_parse.py:295(_class_escape)
     1018    0.000    0.000    0.001    0.000 sre_parse.py:168(__setitem__)
      937    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      923    0.003    0.000    0.003    0.000 contextlib.py:81(__init__)
      923    0.002    0.000    0.003    0.000 contextlib.py:107(__enter__)
      923    0.001    0.000    0.005    0.000 contextlib.py:237(helper)
      922    0.002    0.000    0.003    0.000 contextlib.py:116(__exit__)
      911    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      888    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      837    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:855(__enter__)
      837    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:859(__exit__)
  820/578    0.000    0.000    0.082    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
      805    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
  794/791    0.008    0.000    0.071    0.000 {built-in method builtins.__build_class__}
      749    0.000    0.000    0.001    0.000 sre_parse.py:343(_escape)
      743    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
      734    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      725    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      722    0.002    0.000    0.005    0.000 {method 'sub' of 're.Pattern' objects}
      705    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
      698    0.000    0.000    0.001    0.000 sre_compile.py:423(_simple)
      693    0.001    0.000    0.002    0.000 typing.py:113(_type_check)
      689    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      689    0.000    0.000    0.001    0.000 sre_parse.py:408(_uniq)
      684    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:416(parent)
      680    0.005    0.000    0.007    0.000 sre_compile.py:276(_optimize_charset)
      680    0.001    0.000    0.001    0.000 sre_compile.py:249(_compile_charset)
      676    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
      635    0.000    0.000    0.000    0.000 ssl.py:908(_checkClosed)
      634    0.000    0.000    0.001    0.000 _receivebuffer.py:60(__len__)
      603    0.000    0.000    0.003    0.000 enum.py:284(__call__)
      594    0.002    0.000    0.013    0.000 _connection.py:398(_extract_next_receive_event)
      594    0.003    0.000    0.023    0.000 _connection.py:426(next_event)
      594    0.001    0.000    0.002    0.000 _receivebuffer.py:77(maybe_extract_at_most)
      590    0.000    0.000    0.000    0.000 enum.py:526(__new__)
      583    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
